Country,X_deg,Y_deg,Pop,ElecPop,GridCellArea,NightLights,IsUrban,GHI,WindVel,TravelHours,Elevation,Slope,LandCover,SubstationDist,CurrentHVLineDist,PlannedHVLineDist,CurrentMVLineDist,PlannedMVLineDist,GridDistCurrent,GridDistPlan,TransformerDist,RoadDist,HydropowerDist,Hydropower,HydropowerFID,NumPeoplePerHH,PerCapitaDemand,AgriDemand,HealthDemand,EducationDemand,CommercialDemand,ElectrificationOrder,Conflict,mean_rwi,productive_multiplier_osm,n_health_combined,n_education_combined,anchor_load_kwh_yr,growth_factor,pop_2030_worldpop,admin1_name,admin2_name,productive_uplift_factor,NumHealthFacilities,NumEducationFacilities,AnchorLoadKwhYr,ResidentialDemandTier1,ResidentialDemandTier2,ResidentialDemandTier3,ResidentialDemandTier4,ResidentialDemandTier5,GridPenalty,WindCF,PopStartYear,ElecPopCalib,Pop2033High,Pop2033Low,Pop2041High,Pop2041Low,Pop2026,ElecStart,GridDistCalibElec,FinalElecCode2026,MVConnectDist,minTDdist,Pop2033,NewConnections2033,Tier,EnergyPerSettlement2033,TotalEnergyPerCell,SADieselFuelCost2033,MGDieselFuelCost2033,MG_Hydro2033,MG_PV2033,MG_Wind2033,MG_Diesel2033,SA_Diesel2033,SA_PV2033,Minimum_Tech_Off_grid2033,Minimum_LCOE_Off_grid2033,Off_Grid_Code2033,Grid2033,MinGridDist2033,ElectrificationOrder2033,MinimumOverall2033,MinimumOverallLCOE2033,MinimumOverallCode2033,InvestmentCost2033,ElecStatusIn2033,InvestmentCapita2033,FinalElecCode2033,NewCapacity2033,Pop2041,NewConnections2041,EnergyPerSettlement2041,SADieselFuelCost2041,MGDieselFuelCost2041,MG_Hydro2041,MG_PV2041,MG_Wind2041,MG_Diesel2041,SA_Diesel2041,SA_PV2041,Minimum_Tech_Off_grid2041,Minimum_LCOE_Off_grid2041,Off_Grid_Code2041,Grid2041,MinGridDist2041,ElectrificationOrder2041,MinimumOverall2041,MinimumOverallLCOE2041,MinimumOverallCode2041,InvestmentCost2041,ElecStatusIn2041,InvestmentCapita2041,FinalElecCode2041,NewCapacity2041
0.0,1.819127,6.284989,482,165,0.001,50,0,1883.2,3.0,0.035,200.0,0.5,5,13.379,33.071,33.192,13.379,33.192,13.379,33.192,13.379,0.712,99999.0,0.0,0,5.2,165.56701030927834,0,0,0,0,0,0,0.153,0.6,0,3,0.0,1.2246,223,Mono,Grand-Popo,0.6,0,3,0.0,29.25773195876289,165.56701030927834,607.0790378006874,1600.4810996563576,2262.7491408934707,1.0980490286393125,0.00701240953779792,400.22395931042524,137.00612714983436,408.083553724084,389.0791666788072,417.25511922811546,376.7217647888124,400.22395931042524,0,13.379,99,34.91815836513937,33.192,408.083553724084,408.083553724084,4,67565.17394648236,69083.68262684056,0.43236897941764624,0.3657215322698174,99.0,0.2900451600670155,99.0,99,99,0.5672463301662055,MG_PV2033,0.2900451600670155,5.0,0.212788680440426,0.9526852131197079,2,Grid2033,0.212788680440426,1.0,347013.1211851958,0,850.3482142772665,99.0,0.0,417.25511922811546,417.25511922811546,220751.04788052163,0.43236897941764624,0.3657215322698174,99.0,0.2980987787225622,99.0,99,99,0.546668407507895,MG_PV2041,0.2980987787225622,5.0,0.23701317585649162,2.6069422866771856,2,Grid2041,0.23701317585649162,1.0,214836.18532943472,1,514.8796873405948,1.0,12.021745640320566
0.0,1.811283,6.28529,735,252,0.001,50,0,1879.9,3.0,0.024,200.0,0.5,5,13.865,32.803,32.71,13.865,32.71,13.865,32.71,13.865,0.0,99999.0,0.0,0,5.2,165.56701030927834,0,0,0,0,0,0,0.281,0.5168,0,0,365.0,1.2246,344,Mono,Grand-Popo,0.5168,0,0,365.0,29.25773195876289,165.56701030927834,607.0790378006874,1600.4810996563576,2262.7491408934707,1.0980490286393125,0.00701240953779792,610.3000209401713,209.24572146520157,622.2850871103772,593.3053682757745,636.2707730968151,574.4616122816952,610.3000209401713,0,13.865,99,35.687498169058614,32.71,622.2850871103772,622.2850871103772,4,103029.88143291399,105345.4496488129,0.4319265259467823,0.36570345871591675,99.0,0.2875121069076658,99.0,99,99,0.5682420814772053,MG_PV2033,0.2875121069076658,5.0,0.2819248187743606,10.441941466881106,1,Grid2033,0.2819248187743606,1.0,589462.9532824045,0,947.2554709925888,99.0,0.0,636.2707730968151,636.2707730968151,272577.6418925325,0.4319265259467823,0.36570345871591675,99.0,0.295543490061972,99.0,99,99,0.5476280360757848,MG_PV2041,0.295543490061972,5.0,0.22306252609999835,3.451715111064271,2,Grid2041,0.22306252609999835,1.0,320426.8123924494,1,503.60133757659366,1.0,18.33191503243904
0.0,1.842707,6.285736,996,341,0.001,50,0,1881.8,3.0,0.095,200.0,0.5,5,12.235,33.699,33.7,12.235,33.7,12.235,33.7,12.235,1.729,99999.0,0.0,0,5.2,45.154639175257735,0,0,0,0,0,0,-0.419,0.2,0,0,0.0,1.2246,651,Mono,Grand-Popo,0.2,0,0,0.0,7.97938144329897,45.154639175257735,165.56701030927837,436.4948453608248,617.1134020618557,1.0980490286393125,0.00701240953779792,827.0188038862728,283.1459961096577,843.2597915128375,803.9893153777841,862.2118231352758,778.4541031735624,827.0188038862728,0,12.235,99,33.7,33.7,843.2597915128375,843.2597915128375,3,38077.09161676525,38932.86376631452,0.4347823619859952,0.36582011529109426,99.0,0.35362568840897746,99.0,99,99,0.5676683435907102,MG_PV2033,0.35362568840897746,5.0,99.0,0.0,0,MG_PV2033,0.35362568840897746,5.0,103224.9620534223,1,122.41181554291012,5.0,25.05807897962477,862.2118231352758,18.952031622438312,855.7721495492764,0.4347823619859952,0.36582011529109426,99.0,0.3523089666670964,99.0,99,99,1.136232924103332,MG_PV2041,0.3523089666670964,5.0,0.3188223208118845,37.004252265144835,1,Grid2041,0.3188223208118845,1.0,3003.1284879394907,1,158.459448979809,1.0,0.14891903148131688
0.0,1.864538,6.286458,1550,0,0.001,0,0,1882.9,3.0,0.064,200.0,0.5,5,11.61,34.277,34.229,11.61,34.229,11.61,34.229,11.61,3.107,99999.0,0.0,0,5.2,45.154639175257735,0,0,0,0,0,0,-0.453,0.2,0,4,0.0,1.2246,431,Mono,Grand-Popo,0.2,0,4,0.0,7.97938144329897,45.154639175257735,165.56701030927837,436.4948453608248,617.1134020618557,1.0980490286393125,0.00701240953779792,1287.0272550438985,0.0,1312.301884382428,1251.1881916019734,1341.7955078912426,1211.4496585532347,1287.0272550438985,0,11.61,99,34.229,34.229,1312.301884382428,1312.301884382428,3,59256.51807829933,60588.29200581075,0.43353544765901497,0.36576918073010123,99.0,0.347605425891512,99.0,99,99,0.5673367087837902,MG_PV2033,0.347605425891512,5.0,99.0,0.0,0,MG_PV2033,0.347605425891512,5.0,157586.88829680823,1,120.08432676370724,5.0,38.97322477385229,1341.7955078912426,29.493623508814608,19331.77392751142,0.43353544765901497,0.36576918073010123,99.0,0.3505612032731168,99.0,99,99,1.1355691309032052,MG_PV2041,0.3505612032731168,5.0,0.3172398111828913,37.58512020129503,1,Grid2041,0.3172398111828913,1.0,4663.252410001413,1,158.11052882694224,1.0,0.2317515048153021
0.0,1.875847,6.288243,88,0,0.001,0,0,1880.7,3.0,0.053,200.0,0.5,5,11.396,34.426,34.528,11.396,34.528,11.396,34.528,11.396,4.54,99999.0,0.0,0,5.2,45.154639175257735,0,0,0,0,0,0,-0.487,0.2,0,4,0.0,1.2246,51,Mono,Grand-Popo,0.2,0,4,0.0,7.97938144329897,45.154639175257735,165.56701030927837,436.4948453608248,617.1134020618557,1.0980490286393125,0.00701240953779792,73.06993447991167,0.0,74.50488117784107,71.03520055546689,76.17935786737378,68.77907738882882,73.06993447991167,0,11.396,99,34.528,34.528,74.50488117784107,74.50488117784107,3,3364.241026380865,3439.8514171040947,0.4330929941881509,0.3657511071762005,99.0,0.5033380079640379,99.0,99,99,0.5680003663364696,MG_PV2033,0.5033380079640379,5.0,99.0,0.0,0,MG_PV2033,0.5033380079640379,5.0,13448.01861802055,1,180.4984909098842,5.0,2.215261741440956,76.17935786737378,1.6744766895327103,18075.61039072323,0.4330929941881509,0.3657511071762005,99.0,0.37143150903678895,99.0,99,99,1.1368974937936172,MG_PV2041,0.37143150903678895,5.0,0.33768150436174604,37.913436860858184,1,Grid2041,0.33768150436174604,1.0,272.2994177310884,1,162.61762222983106,1.0,0.013157504789514003
0.0,1.893127,6.290206,1536,0,0.001,0,0,1878.8,3.0,0.01,200.0,0.5,5,11.184,34.735,34.6,11.184,34.6,11.184,34.6,11.184,5.368,99999.0,0.0,0,5.2,45.154639175257735,0,0,0,0,0,0,-0.495,0.2,0,3,730.0,1.2246,689,Mono,Grand-Popo,0.2,0,3,730.0,7.97938144329897,45.154639175257735,165.56701030927837,436.4948453608248,617.1134020618557,1.08511484849847,0.00701240953779792,1275.4024927402763,0.0,1300.448835104135,1239.8871369681492,1329.6760645941604,1200.507532605012,1275.4024927402763,0,11.184,99,34.6,34.6,1300.448835104135,1300.448835104135,3,58721.29791501146,60041.04291672601,0.43136340334750095,0.3656804560109521,99.0,0.3482714962780884,99.0,99,99,0.5685747759042997,MG_PV2033,0.3482714962780884,5.0,99.0,0.0,0,MG_PV2033,0.3482714962780884,5.0,156457.6363801104,1,120.31048985297593,5.0,38.70548945016051,1329.6760645941604,29.227229490025366,15549.745001714547,0.43136340334750095,0.3656804560109521,99.0,0.35117388693638946,99.0,99,99,1.1380472198092662,MG_PV2041,0.35117388693638946,5.0,0.3172688857859119,37.544973758047064,1,Grid2041,0.3172688857859119,1.0,4621.320072651462,1,158.1169393502939,1.0,0.22965826541697074
0.0,1.843668,6.290789,64,0,0.001,0,0,1875.9,3.0,0.102,200.0,0.5,5,11.829,33.19,33.353,11.829,33.353,11.829,33.353,11.829,1.589,99999.0,0.0,0,5.2,45.154639175257735,0,0,0,0,0,0,-0.419,0.2,0,3,0.0,0.9143,64,Mono,Grand-Popo,0.2,0,3,0.0,7.97938144329897,45.154639175257735,165.56701030927837,436.4948453608248,617.1134020618557,1.0980490286393125,0.00701240953779792,53.141770530844845,0.0,54.18536812933896,51.66196404033955,55.40316935809002,50.0211471918755,53.141770530844845,0,11.829,99,33.353,33.353,54.18536812933896,54.18536812933896,3,2446.720746458811,2501.7101215302505,0.4350639232856359,0.3658316166435766,99.0,0.5632123927945702,99.0,99,99,0.5694537496503003,MG_PV2033,0.5632123927945702,5.0,99.0,0.0,0,MG_PV2033,0.5632123927945702,5.0,11037.26764357288,1,203.69461396344548,5.0,1.6152218841392034,55.40316935809002,1.217801228751057,13554.98937507144,0.4350639232856359,0.3658316166435766,99.0,0.3767746742619545,99.0,99,99,1.1398065550283356,MG_PV2041,0.3767746742619545,5.0,0.34231350302312463,36.62322925220699,1,Grid2041,0.34231350302312463,1.0,199.2796656315819,1,163.63890996887693,1.0,0.009569094392373781
0.0,1.90381,6.294918,75,0,0.001,0,0,1877.4,3.0,0.023,200.0,0.5,5,11.049,34.554,34.705,11.049,34.705,11.049,34.705,11.049,7.151,99999.0,0.0,0,5.2,7.979381443298971,0,0,0,0,0,0,-0.68,0.2,0,0,0.0,1.2246,15,Mono,Grand-Popo,0.2,0,0,0.0,1.4100550769665305,7.979381443298971,29.257731958762893,77.13402061855672,109.0515463917526,1.08511484849847,0.00701240953779792,62.2755123408338,0.0,63.49847827656909,60.5413641097729,64.92558909151174,58.6185318654791,62.2755123408338,0,11.049,99,0.0,34.705,63.49847827656909,63.49847827656909,2,506.6785792377782,518.0660407920628,0.4318863029039765,0.3657018156655621,99.0,1.7908918992343803,99.0,99,99,1.094228401972653,SA_PV2033,1.094228401972653,3.0,99.0,0.0,0,SA_PV2033,1.094228401972653,3.0,3839.220304564984,1,60.461611187644074,3.0,0.2998701391035937,64.92558909151174,1.427110814942651,11.387461554284661,0.4318863029039765,0.3657018156655621,99.0,71.07231213710767,99.0,99,99,1.138895875454165,SA_PV2041,1.138895875454165,3.0,99.0,0.0,0,SA_PV2041,1.138895875454165,3.0,37.16149017529032,1,26.039666847303423,3.0,0.0067394988070290235
0.0,1.894752,6.295243,660,0,0.001,0,0,1874.1,3.0,0.0,200.0,0.5,5,10.766,34.248,34.347,10.766,34.347,10.766,34.347,10.766,6.082,99999.0,0.0,0,5.2,45.154639175257735,0,0,0,0,0,0,-0.31,0.2,0,3,730.0,1.2246,134,Mono,Grand-Popo,0.2,0,3,730.0,7.97938144329897,45.154639175257735,165.56701030927837,436.4948453608248,617.1134020618557,1.08511484849847,0.00701240953779792,548.0245085993374,0.0,558.7866088338079,532.7640041660015,571.3451840053033,515.843080416216,548.0245085993374,0,10.766,99,34.347,34.347,558.7866088338079,558.7866088338079,3,25231.807697856482,25798.885628280706,0.43096117291944275,0.365664025507406,99.0,0.362733929826124,99.0,99,99,0.5700006877802669,MG_PV2033,0.362733929826124,5.0,99.0,0.0,0,MG_PV2033,0.362733929826124,5.0,70343.06565797646,1,125.88538190774291,5.0,16.672974056058933,571.3451840053033,12.558575171495363,14797.077930424224,0.43096117291944275,0.365664025507406,99.0,0.35524072990137767,99.0,99,99,1.1409012947962451,MG_PV2041,0.35524072990137767,5.0,0.3206446285328953,37.27043970137695,1,Grid2041,0.3206446285328953,1.0,1995.0708381083377,1,158.86124109338613,1.0,0.0986812859213553
0.0,1.837762,6.295609,115,0,0.001,0,0,1869.7,3.0,0.083,200.0,0.5,5,11.481,32.5,32.544,11.481,32.544,11.481,32.544,11.481,0.653,99999.0,0.0,0,5.2,45.154639175257735,0,0,0,0,0,0,-0.419,0.2,0,7,0.0,1.045,116,Mono,Grand-Popo,0.2,0,7,0.0,7.97938144329897,45.154639175257735,165.56701030927837,436.4948453608248,617.1134020618557,1.0980490286393125,0.00701240953779792,95.48911892261184,0.0,97.36433335740595,92.83009163498512,99.55256994031801,89.8817488604013,95.48911892261184,0,11.481,99,32.544,32.544,97.36433335740595,97.36433335740595,3,4396.4513412931765,4495.26037462467,0.4342996854723254,0.36580039868683895,99.0,0.46745972230645166,99.0,99,99,0.5713420810659455,MG_PV2033,0.46745972230645166,5.0,99.0,0.0,0,MG_PV2033,0.46745972230645166,5.0,16210.076646576927,1,166.4888577532064,5.0,2.9119761378206084,99.55256994031801,2.1882365829120545,31598.809033331494,0.4342996854723254,0.36580039868683895,99.0,0.36962650664836993,99.0,99,99,1.1435861991643759,MG_PV2041,0.36962650664836993,5.0,0.3343207533955135,35.734907588037785,1,Grid2041,0.3343207533955135,1.0,354.22435483183045,1,161.87662595441893,1.0,0.01719446648629663
