Country,X_deg,Y_deg,Pop,ElecPop,GridCellArea,NightLights,IsUrban,GHI,WindVel,TravelHours,Elevation,Slope,LandCover,SubstationDist,CurrentHVLineDist,PlannedHVLineDist,CurrentMVLineDist,PlannedMVLineDist,GridDistCurrent,GridDistPlan,TransformerDist,RoadDist,HydropowerDist,Hydropower,HydropowerFID,NumPeoplePerHH,PerCapitaDemand,AgriDemand,HealthDemand,EducationDemand,CommercialDemand,ElectrificationOrder,Conflict,mean_rwi,productive_multiplier_osm,n_health_combined,n_education_combined,anchor_load_kwh_yr,growth_factor,pop_2030_worldpop,admin1_name,admin2_name,ResidentialDemandTier1,ResidentialDemandTier2,ResidentialDemandTier3,ResidentialDemandTier4,ResidentialDemandTier5,GridPenalty,WindCF,PopStartYear,ElecPopCalib,Pop2033High,Pop2033Low,Pop2041High,Pop2041Low,Pop2026,ElecStart,GridDistCalibElec,FinalElecCode2026,MVConnectDist,minTDdist,Pop2033,NewConnections2033,Tier,EnergyPerSettlement2033,TotalEnergyPerCell,SADieselFuelCost2033,MGDieselFuelCost2033,MG_Hydro2033,MG_PV2033,MG_Wind2033,MG_Diesel2033,SA_Diesel2033,SA_PV2033,Minimum_Tech_Off_grid2033,Minimum_LCOE_Off_grid2033,Off_Grid_Code2033,Grid2033,MinGridDist2033,ElectrificationOrder2033,MinimumOverall2033,MinimumOverallLCOE2033,MinimumOverallCode2033,InvestmentCost2033,ElecStatusIn2033,InvestmentCapita2033,FinalElecCode2033,NewCapacity2033,Pop2041,NewConnections2041,EnergyPerSettlement2041,SADieselFuelCost2041,MGDieselFuelCost2041,MG_Hydro2041,MG_PV2041,MG_Wind2041,MG_Diesel2041,SA_Diesel2041,SA_PV2041,Minimum_Tech_Off_grid2041,Minimum_LCOE_Off_grid2041,Off_Grid_Code2041,Grid2041,MinGridDist2041,ElectrificationOrder2041,MinimumOverall2041,MinimumOverallLCOE2041,MinimumOverallCode2041,InvestmentCost2041,ElecStatusIn2041,InvestmentCapita2041,FinalElecCode2041,NewCapacity2041
0.0,1.819127,6.284989,394,165,0.001,50,0,1883.2,3.0,0.035,200.0,0.5,5,13.379,33.071,33.192,13.379,33.192,13.379,33.192,13.379,0.712,99999.0,0.0,0,5.2,45.154639175257735,0,0,0,0,0,0,0.153,0.6,0,3,0.0,1.2246,223,Mono,Grand-Popo,7.97938144329897,45.154639175257735,165.56701030927837,436.4948453608248,617.1134020618557,1.0980490286393125,0.00701240953779792,466.6053914688826,195.4058111481361,473.628368169882,451.57156940359533,481.78415357866083,434.9822643738765,466.6053914688826,0,13.379,99,33.192,33.192,473.628368169882,473.628368169882,3,21386.518067877147,21754.78961520139,0.43236897941764624,0.3657215322698174,99.0,0.3656620685890826,99.0,99,99,0.5672463301662055,MG_PV2033,0.3656620685890826,5.0,99.0,0.0,0,MG_PV2033,0.3656620685890826,5.0,60195.087720054566,1,127.09350149918315,5.0,14.063748989189829,481.78415357866083,8.155785408778854,368.27154732424106,0.43236897941764624,0.3657215322698174,99.0,0.3548059250053607,99.0,99,99,1.1353882309779408,MG_PV2041,0.3548059250053607,5.0,0.3215029611610327,36.44644335859606,1,Grid2041,0.3215029611610327,1.0,1297.1816724804373,1,159.05049084348838,1.0,0.06408556550775438
0.0,1.811283,6.28529,601,252,0.001,50,0,1879.9,3.0,0.024,200.0,0.5,5,13.865,32.803,32.71,13.865,32.71,13.865,32.71,13.865,0.0,99999.0,0.0,0,5.2,45.154639175257735,0,0,0,0,0,0,0.281,0.5168,0,0,365.0,1.2246,344,Mono,Grand-Popo,7.97938144329897,45.154639175257735,165.56701030927837,436.4948453608248,617.1134020618557,1.0980490286393125,0.00701240953779792,711.7508636365442,298.43796611715334,722.4635768276625,688.8185614506618,734.9042545704953,663.5135555550755,711.7508636365442,0,13.865,99,32.71,32.71,722.4635768276625,722.4635768276625,3,32622.58212891919,33184.336443492466,0.4319265259467823,0.36570345871591675,99.0,0.3565604750339188,99.0,99,99,0.5682420814772053,MG_PV2033,0.3565604750339188,5.0,99.0,0.0,0,MG_PV2033,0.3565604750339188,5.0,89250.02880940921,1,123.53567940588242,5.0,21.490229540184814,734.9042545704953,12.440677742832804,561.7543145732751,0.4319265259467823,0.36570345871591675,99.0,0.35323530348733134,99.0,99,99,1.1373813056958575,MG_PV2041,0.35323530348733134,5.0,0.319474584316127,35.91718372679191,1,Grid2041,0.319474584316127,1.0,1973.1320903114731,1,158.60326351176596,1.0,0.09775488545726053
0.0,1.842707,6.285736,814,341,0.001,50,0,1881.8,3.0,0.095,200.0,0.5,5,12.235,33.699,33.7,12.235,33.7,12.235,33.7,12.235,1.729,99999.0,0.0,0,5.2,45.154639175257735,0,0,0,0,0,0,-0.419,0.2,0,0,0.0,1.2246,651,Mono,Grand-Popo,7.97938144329897,45.154639175257735,165.56701030927837,436.4948453608248,617.1134020618557,1.0980490286393125,0.00701240953779792,964.0020016641381,403.83867637281463,978.511400229147,932.9422779048898,995.3611700838322,898.6689421328311,964.0020016641381,0,12.235,99,33.7,33.7,978.511400229147,978.511400229147,3,44184.32920622334,44945.174484197785,0.4347823619859952,0.36582011529109426,99.0,0.3513860706139406,99.0,99,99,0.5676683435907103,MG_PV2033,0.3513860706139406,5.0,99.0,0.0,0,MG_PV2033,0.3513860706139406,5.0,118930.95645512565,1,121.54273974454922,5.0,29.077179057021247,995.3611700838322,16.84976985468529,760.8452779744493,0.4347823619859952,0.36582011529109426,99.0,0.3517435950890937,99.0,99,99,1.1362329241033227,MG_PV2041,0.3517435950890937,5.0,0.3182601356359838,37.004252265144835,1,Grid2041,0.3182601356359838,1.0,2667.916657275847,1,158.33549539752312,1.0,0.13240012772414267
0.0,1.864538,6.286458,1266,0,0.001,0,0,1882.9,3.0,0.064,200.0,0.5,5,11.61,34.277,34.229,11.61,34.229,11.61,34.229,11.61,3.107,99999.0,0.0,0,5.2,45.154639175257735,0,0,0,0,0,0,-0.453,0.2,0,4,0.0,1.2246,431,Mono,Grand-Popo,7.97938144329897,45.154639175257735,165.56701030927837,436.4948453608248,617.1134020618557,1.0980490286393125,0.00701240953779792,1499.2954964456987,0.0,1521.8617109214988,1450.9888499110448,1548.0678640370168,1397.6841286734202,1499.2954964456987,0,11.61,99,34.229,34.229,1521.8617109214988,1521.8617109214988,3,68719.11643130067,69902.44581940344,0.43353544765901497,0.36576918073010123,99.0,0.3461047553891602,99.0,99,99,0.5673367087837901,MG_PV2033,0.3461047553891602,5.0,99.0,0.0,0,MG_PV2033,0.3461047553891602,5.0,181865.51339990663,1,119.50199686000752,5.0,45.196809697774135,1548.0678640370168,26.206153115517964,1183.32938810277,0.43353544765901497,0.36576918073010123,99.0,0.3501098055958074,99.0,99,99,1.1355691309032037,MG_PV2041,0.3501098055958074,5.0,0.31679095755724945,37.58512020129503,1,Grid2041,0.31679095755724945,1.0,4140.875218941745,1,158.01156318856,1.0,0.2059196089665417
0.0,1.875847,6.288243,72,0,0.001,0,0,1880.7,3.0,0.053,200.0,0.5,5,11.396,34.426,34.528,11.396,34.528,11.396,34.528,11.396,4.54,99999.0,0.0,0,5.2,45.154639175257735,0,0,0,0,0,0,-0.487,0.2,0,4,0.0,1.2246,51,Mono,Grand-Popo,7.97938144329897,45.154639175257735,165.56701030927837,436.4948453608248,617.1134020618557,1.0980490286393125,0.00701240953779792,85.26799031918667,0.0,86.55137692444544,82.5206928859362,88.04177425802939,79.48914475867794,85.26799031918667,0,11.396,99,34.528,34.528,86.55137692444544,86.55137692444544,3,3908.196195145062,3975.494548970812,0.4330929941881509,0.3657511071762005,99.0,0.481201101968548,99.0,99,99,0.5680003663364694,MG_PV2033,0.481201101968548,5.0,99.0,0.0,0,MG_PV2033,0.481201101968548,5.0,14878.90374776896,1,171.90834249531835,5.0,2.573441510658825,88.04177425802939,1.4903973335839567,67.2983538257498,0.4330929941881509,0.3657511071762005,99.0,0.36951546082137027,99.0,99,99,1.136897493793612,MG_PV2041,0.36951546082137027,5.0,0.3357762548852395,37.913436860858184,1,Grid2041,0.3357762548852395,1.0,241.7387851184506,1,162.19754267618129,1.0,0.011711067808523672
0.0,1.893127,6.290206,1255,0,0.001,0,0,1878.8,3.0,0.01,200.0,0.5,5,11.184,34.735,34.6,11.184,34.6,11.184,34.6,11.184,5.368,99999.0,0.0,0,5.2,45.154639175257735,0,0,0,0,0,0,-0.495,0.2,0,3,730.0,1.2246,689,Mono,Grand-Popo,7.97938144329897,45.154639175257735,165.56701030927837,436.4948453608248,617.1134020618557,1.08511484849847,0.00701240953779792,1486.2684423691564,0.0,1508.6385838913752,1438.381521831249,1534.6170374142623,1385.5399537797334,1486.2684423691564,0,11.184,99,34.6,34.6,1508.6385838913752,1508.6385838913752,3,68122.03090148684,69295.07859664402,0.43136340334750095,0.3656804560109521,99.0,0.3467553798527982,99.0,99,99,0.5685747759042998,MG_PV2033,0.3467553798527982,5.0,99.0,0.0,0,MG_PV2033,0.3467553798527982,5.0,180617.47929640164,1,119.72216621327406,5.0,44.90187788759629,1534.6170374142623,25.978453522887094,1173.04769515717,0.43136340334750095,0.3656804560109521,99.0,0.3507193961318677,99.0,99,99,1.138047219809267,MG_PV2041,0.3507193961318677,5.0,0.31681695646575114,37.544973758047064,1,Grid2041,0.31681695646575114,1.0,4105.04496868414,1,158.01729556640404,1.0,0.2041304180513507
0.0,1.843668,6.290789,70,0,0.001,0,0,1875.9,3.0,0.102,200.0,0.5,5,11.829,33.19,33.353,11.829,33.353,11.829,33.353,11.829,1.589,99999.0,0.0,0,5.2,45.154639175257735,0,0,0,0,0,0,-0.419,0.2,0,3,0.0,0.9143,64,Mono,Grand-Popo,7.97938144329897,45.154639175257735,165.56701030927837,436.4948453608248,617.1134020618557,1.0980490286393125,0.00701240953779792,82.89943503254258,0.0,84.1471720098775,80.22845141688241,85.59616941752857,77.28111295982576,82.89943503254258,0,11.829,99,33.353,33.353,84.1471720098775,84.1471720098775,3,3799.6351897243653,3865.0641448327337,0.4350639232856359,0.3658316166435766,99.0,0.4857871663256287,99.0,99,99,0.5694537496503004,MG_PV2033,0.4857871663256287,5.0,99.0,0.0,0,MG_PV2033,0.4857871663256287,5.0,14612.158732859538,1,173.65002749164654,5.0,2.508358961303934,85.59616941752857,1.4489974076510777,65.42895510836826,0.4350639232856359,0.3658316166435766,99.0,0.37055602343678673,99.0,99,99,1.1398065550283352,MG_PV2041,0.37055602343678673,5.0,0.33612990016078514,36.62322925220699,1,Grid2041,0.33612990016078514,1.0,235.13680240100172,1,162.27551627036678,1.0,0.011385760369398083
0.0,1.90381,6.294918,62,0,0.001,0,0,1877.4,3.0,0.023,200.0,0.5,5,11.049,34.554,34.705,11.049,34.705,11.049,34.705,11.049,7.151,99999.0,0.0,0,5.2,45.154639175257735,0,0,0,0,0,0,-0.68,0.2,0,0,0.0,1.2246,15,Mono,Grand-Popo,7.97938144329897,45.154639175257735,165.56701030927837,436.4948453608248,617.1134020618557,1.08511484849847,0.00701240953779792,73.4252138859663,0.0,74.5303523516058,71.0594855406673,75.81375005552532,68.44898576441712,73.4252138859663,0,11.049,99,34.705,34.705,74.5303523516058,74.5303523516058,3,3365.3911680415818,3423.342528280422,0.4318863029039765,0.3657018156655621,99.0,0.5037414914461391,99.0,99,99,0.5689987690257794,MG_PV2033,0.5037414914461391,5.0,99.0,0.0,0,MG_PV2033,0.5037414914461391,5.0,13462.343857797128,1,180.62901130920355,5.0,2.219914286335382,75.81375005552532,1.283397703919519,57.95136023884014,0.4318863029039765,0.3657018156655621,99.0,0.37193235100855065,99.0,99,99,1.1388958754541703,MG_PV2041,0.37193235100855065,5.0,0.33771167392498724,37.6589108171394,1,Grid2041,0.33771167392498724,1.0,208.71162007885675,1,162.6242741758442,1.0,0.01008453061289539
0.0,1.894752,6.295243,539,0,0.001,0,0,1874.1,3.0,0.0,200.0,0.5,5,10.766,34.248,34.347,10.766,34.347,10.766,34.347,10.766,6.082,99999.0,0.0,0,5.2,45.154639175257735,0,0,0,0,0,0,-0.31,0.2,0,3,730.0,1.2246,134,Mono,Grand-Popo,7.97938144329897,45.154639175257735,165.56701030927837,436.4948453608248,617.1134020618557,1.08511484849847,0.00701240953779792,638.3256497505779,0.0,647.9332244760567,617.7590759099945,659.09050451497,595.0645697906584,638.3256497505779,0,10.766,99,34.347,34.347,647.9332244760567,647.9332244760567,3,29257.190960877615,29760.99391521205,0.43096117291944275,0.365664025507406,99.0,0.35948795291463986,99.0,99,99,0.5700006877802671,MG_PV2033,0.35948795291463986,5.0,99.0,0.0,0,MG_PV2033,0.35948795291463986,5.0,80749.19126229119,1,124.62579199822333,5.0,19.33291469581527,659.09050451497,11.157280038913314,503.80295433443627,0.43096117291944275,0.365664025507406,99.0,0.3545495766762745,99.0,99,99,1.1409012947962482,MG_PV2041,0.3545495766762745,5.0,0.3199573706081125,37.27043970137695,1,Grid2041,0.3199573706081125,1.0,1770.7686883482877,1,158.70971080517535,1.0,0.08767035484436536
0.0,1.837762,6.295609,111,0,0.001,0,0,1869.7,3.0,0.083,200.0,0.5,5,11.481,32.5,32.544,11.481,32.544,11.481,32.544,11.481,0.653,99999.0,0.0,0,5.2,45.154639175257735,0,0,0,0,0,0,-0.419,0.2,0,7,0.0,1.045,116,Mono,Grand-Popo,7.97938144329897,45.154639175257735,165.56701030927837,436.4948453608248,617.1134020618557,1.0980490286393125,0.00701240953779792,131.45481840874612,0.0,133.43337275852005,127.219401532485,135.73106864779533,122.54576483629516,131.45481840874612,0,11.481,99,32.544,32.544,133.43337275852005,133.43337275852005,3,6025.135800848638,6128.887429663336,0.4342996854723254,0.36580039868683895,99.0,0.4341588996697539,99.0,99,99,0.5713420810659455,MG_PV2033,0.4341588996697539,5.0,99.0,0.0,0,MG_PV2033,0.4341588996697539,5.0,20490.90815356426,1,153.56659080069508,5.0,3.990730322523978,135.73106864779533,2.297695889275275,103.75162881469798,0.4342996854723254,0.36580039868683895,99.0,0.3662109173138415,99.0,99,99,1.1435861991643834,MG_PV2041,0.3662109173138415,5.0,0.3309244141284658,35.734907588037785,1,Grid2041,0.3309244141284658,1.0,370.22264460317285,1,161.12778298086533,1.0,0.01805456287147406
