X_deg,Y_deg,tech_vanilla,tech_extended,tech_changed,lcoe_vanilla,lcoe_extended,lcoe_delta,investment_vanilla,investment_extended,investment_delta,new_connections_vanilla,new_connections_extended,admin1_name,admin2_name
1.819127,6.284989,Grid,Grid,False,0.3215029611610327,0.2370131758564916,-0.08448978530454113,61492.269392535,561849.3065146306,500357.0371220956,8.155785408778854,417.25511922811546,Mono,Grand-Popo
1.811283,6.28529,Grid,Grid,False,0.319474584316127,0.2230625260999983,-0.09641205821612872,91223.16089972068,909889.7656748539,818666.6047751333,12.440677742832804,636.2707730968151,Mono,Grand-Popo
1.842707,6.285736,Grid,Grid,False,0.3182601356359838,0.3188223208118845,0.0005621851759006757,121598.87311240147,106228.0905413618,-15370.782571039672,16.84976985468529,18.952031622438312,Mono,Grand-Popo
1.864538,6.286458,Grid,Grid,False,0.3167909575572494,0.3172398111828913,0.00044885362564189846,186006.38861884837,162250.14070680965,-23756.24791203873,26.206153115517964,29.493623508814608,Mono,Grand-Popo
1.875847,6.288243,Grid,Grid,False,0.3357762548852395,0.337681504361746,0.0019052494765064987,15120.64253288741,13720.318035751638,-1400.3244971357726,1.4903973335839569,1.6744766895327103,Mono,Grand-Popo
1.893127,6.290206,Grid,Grid,False,0.3168169564657511,0.3172688857859119,0.00045192932016080434,184722.52426508578,161078.95645276186,-23643.56781232392,25.978453522887094,29.22722949002537,Mono,Grand-Popo
1.843668,6.290789,Grid,Grid,False,0.3361299001607851,0.3423135030231246,0.006183602862339488,14847.29553526054,11236.547309204463,-3610.7482260560773,1.4489974076510777,1.217801228751057,Mono,Grand-Popo
1.90381,6.294918,Grid,SA_PV,True,0.3377116739249872,1.138895875454165,0.8011842015291777,13671.055477875985,3876.3817947402745,-9794.67368313571,1.283397703919519,1.427110814942651,Mono,Grand-Popo
1.894752,6.295243,Grid,Grid,False,0.3199573706081125,0.3206446285328953,0.0006872579247828026,82519.95995063947,72338.1364960848,-10181.823454554673,11.157280038913314,12.558575171495365,Mono,Grand-Popo
1.837762,6.295609,Grid,Grid,False,0.3309244141284658,0.3343207533955135,0.0033963392670476877,20861.130798167436,16564.30100140876,-4296.829796758677,2.297695889275275,2.1882365829120545,Mono,Grand-Popo
1.843174,6.298292,Grid,Grid,False,0.3278371633559927,0.3318973956102612,0.004060232254268492,27277.60339167392,19476.94021974618,-7800.663171927743,3.208494259798812,2.7210246204906525,Mono,Grand-Popo
1.943487,6.299354,Grid,Grid,False,0.3344968911908252,0.3364062345040317,0.0019093433132064686,16309.678144887062,14672.371092621992,-1637.3070522650705,1.6559970373155153,1.8457299873258108,Mono,Grand-Popo
1.921653,6.299602,Grid,Grid,False,0.3293282283007192,0.3307476156265852,0.0014193873258660505,23737.018165789395,21191.710979897616,-2545.307185891779,2.71169514860415,3.0445030718776422,Mono,Grand-Popo
1.834897,6.301154,Grid,Grid,False,0.3377116739249872,0.330818308754325,-0.006893365170662191,13720.467664797961,82275.7660577485,68555.29839295053,1.283397703919519,83.10475403713502,Mono,Grand-Popo
1.944376,6.302221,Grid,Grid,False,0.3401814383071242,0.3425622657462099,0.0023808274390856865,12214.043332296684,11136.476177623937,-1077.5671546727463,1.0763980742550814,1.1987730845518243,Mono,Grand-Popo
1.932757,6.302311,Grid,Grid,False,0.3296913812776426,0.3311316145063167,0.0014402332286740926,23018.842433877984,20579.537831985264,-2439.30460189272,2.6081953337719312,2.9303342066822324,Mono,Grand-Popo
1.83764,6.302996,Grid,Grid,False,0.3269289311599629,0.3285581513383412,0.001629220178378299,29955.080255425084,25624.410319999464,-4330.66993542562,3.581093593194794,3.8436851282455393,Mono,Grand-Popo
1.944666,6.304525,Grid,Grid,False,0.3396330548117766,0.3372354456603085,-0.002397609151468083,12513.46654374256,14061.214342269668,1547.747798527109,1.1177980001879604,1.7315611221304152,Mono,Grand-Popo
1.831284,6.304666,Grid,Grid,False,0.3181531882922226,0.1907261250829597,-0.12742706320926292,126034.00877720764,1184492.78323136,1058458.7744541522,17.34656896588001,888.1820587718806,Mono,Grand-Popo
1.975808,6.305056,Grid,Grid,False,0.3203060614268473,0.3188063512011505,-0.0014997102256968375,77012.92890034869,107062.48386668992,30049.554966341224,10.349981483221995,19.028144199235385,Mono,Grand-Popo
1.982676,6.306007,Grid,Grid,False,0.328597919949317,0.3257837638572057,-0.002814156092111275,25362.076745807826,33974.92010444632,8612.843358638493,2.9393947412350485,5.403992952582826,Atlantique,Ouidah
