Country,X_deg,Y_deg,Pop,ElecPop,GridCellArea,NightLights,IsUrban,GHI,WindVel,TravelHours,Elevation,Slope,LandCover,SubstationDist,CurrentHVLineDist,PlannedHVLineDist,CurrentMVLineDist,PlannedMVLineDist,GridDistCurrent,GridDistPlan,TransformerDist,RoadDist,HydropowerDist,Hydropower,HydropowerFID,NumPeoplePerHH,PerCapitaDemand,AgriDemand,HealthDemand,EducationDemand,CommercialDemand,ElectrificationOrder,Conflict,mean_rwi,productive_multiplier_osm,n_health_combined,n_education_combined,anchor_load_kwh_yr,growth_factor,pop_2030_worldpop,admin1_name,admin2_name
,1.946346,6.629545,67,0,0.001,0,0,1715.9,3.0,0.117,200.0,0.5,5,10.609,4.016,4.019,10.609,4.019,4.016,4.019,10.609,2.01,99999.0,0.0,0,5.2,0,0,0,0,0,0,0,-0.119,0.2,0,0,0.0,1.2246,41,Mono,Bopa
,1.038275,10.653729,82,0,0.001,0,0,2021.7,3.0,0.133,200.0,0.5,5,61.512,61.556,17.615,61.512,17.615,61.512,17.615,61.512,16.283,99999.0,0.0,0,5.2,0,0,0,0,0,0,0,-0.576,0.2,0,0,0.0,0.9878,81,Atakora,Matéri
,2.574226,9.242981,52,0,0.001,0,0,1897.1,3.0,0.305,200.0,0.5,5,9.893,1.715,9.816,9.893,9.816,1.715,9.816,9.893,0.103,99999.0,0.0,0,5.2,0,0,0,0,0,0,0,-0.831,0.2,0,0,0.0,0.9,46,Borgou,Tchaourou
,3.418559,9.935181,39,0,0.001,0,0,1991.7,3.0,0.126,200.0,0.5,5,23.352,74.749,59.981,23.352,59.981,23.352,59.981,23.352,11.084,99999.0,0.0,0,5.2,0,0,0,0,0,0,0,-0.034,0.2,0,0,730.0,0.9487,37,Borgou,Nikki
,2.890063,9.440075,245,0,0.001,0,0,1901.9,3.0,0.378,200.0,0.5,5,34.415,30.245,3.303,34.415,3.303,30.245,3.303,34.415,9.833,99999.0,0.0,0,5.2,0,0,0,0,0,0,0,-0.696,0.2,0,0,0.0,1.3884,96,Borgou,Pèrèrè
,2.493705,11.2221,31,0,0.001,0,0,2068.0,3.0,0.239,200.0,0.5,5,10.585,113.885,5.786,10.585,5.786,10.585,5.786,10.585,10.051,99999.0,0.0,0,5.2,0,0,0,0,0,0,0,-0.593,0.2,0,0,0.0,1.4194,44,Alibori,Banikoara
,0.857419,10.482933,134,0,0.001,0,0,2001.2,3.0,0.114,200.0,0.5,5,65.522,65.707,44.612,65.522,44.612,65.522,44.612,65.522,1.928,99999.0,0.0,0,5.2,0,0,0,0,0,0,0,-0.432,0.2,0,0,0.0,1.1044,47,Atakora,Cobly
,1.756103,6.599538,59,0,0.001,0,0,1725.8,3.0,0.058,200.0,0.5,5,7.931,2.295,2.2,7.931,2.2,2.295,2.2,7.931,1.347,99999.0,0.0,0,5.2,0,0,0,0,0,0,0,-0.2415,0.2,0,0,0.0,0.9153,54,Mono,Lokossa
,2.992499,9.571833,121,0,0.001,0,0,1923.8,3.0,0.114,200.0,0.5,5,23.517,36.593,14.884,23.517,14.884,23.517,14.884,23.517,3.721,99999.0,0.0,0,5.2,0,0,0,0,0,0,0,-0.434,0.2,0,0,0.0,1.3884,87,Borgou,Pèrèrè
,3.456726,11.637778,376,0,0.001,0,0,2079.4,3.0,0.303,200.0,0.5,5,25.667,180.853,17.901,25.667,17.901,25.667,17.901,25.667,3.02,99999.0,0.0,0,5.2,0,0,0,0,0,0,0,-0.314,0.2,0,0,0.0,1.053,149,Alibori,Malanville
