lat,lon,demand,mean_rwi,hull_area,identifier,population,buffer_area,description,admin_cgaz_0,admin_cgaz_1,admin_cgaz_2,overlap_area,village_name,bf_total_area,energy_demand,num_buildings,has_nightlight,large_buildings,num_connections,small_buildings,building_density,main_road_access,medium_buildings,nearest_hub_name,pv_size_category,Buildings_per_km2,demand_connection,dist_main_road_km,dist_lake_river_km,overlap_percentage,dist_nearest_hub_km,dist_to_substations,has_health_facility,dist_to_regional_hubs,num_health_facilities,very_small_structures,closest_distance_water,has_education_facility,building_density_percent,num_education_facilities,dist_to_gridlight_targets,avg_connection_energy_demand,Medium_and_large_buildings_pc,distance_to_planned_transmission_lines,distance_to_existing_transmission_lines,dist_to_existing_planned_transmission_lines_2017,count_infrastructure_telecom,count_infrastructure_water,count_institutional_edu,count_institutional_govt,count_institutional_health,count_institutional_religious,count_productive_heavy,count_productive_light,count_productive_medium,weight_infrastructure_telecom,weight_infrastructure_water,weight_institutional_edu,weight_institutional_govt,weight_institutional_health,weight_institutional_religious,weight_productive_heavy,weight_productive_light,weight_productive_medium,has_poi_signal,productive_multiplier,n_health_combined,n_education_combined,anchor_load_kwh_yr,GHI,pop_2030_worldpop,growth_factor,admin1_name,admin2_name,dist_to_hvline_km
6.677054,2.584441,7.035,-0.432,0.01553333,1111,54,15533.33,,Benin,Plateau,Sakete,0.0,Location #13073,0.001179357,4.557,21,False,0,21,21,0.07592427,False,0,Takon,Very small,1351.931597,0.335,3.317763,0.739,0.0,4.763,9.799771191,False,4.762547203,0,0,0.738967037,False,7.592426956,0,3.556916395,0.217,0.0,4.732125663,1.6661255,1.6661255,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0,0,0.0,1710.831,38,1.1389,Plateau,Sakété,1.745
8.977839,2.694065,8.375,-0.612,0.04115827,7190,64,41158.27,,Benin,Borgou,Tchaourou,0.0,Tchaourou,0.0006311,5.425,25,False,0,25,25,0.015333497,False,0,Tchaourou,Very small,607.4113406,0.335,10.018552,0.826,0.0,14.529,15.36350973,False,14.52864678,0,7,0.825575669,True,1.533349702,1,10.31236249,0.217,0.0,40.54242833,14.07753715,14.07753715,0,5,6,0,0,0,1,0,0,0.0,10.0,72.0,0.0,0.0,0.0,8.0,0.0,0.0,True,0.4246,0,6,3650.0,1848.895,42,1.3884,Borgou,Tchaourou,14.199
9.854968,1.453742,4.69,-0.499,0.009145628,9347,36,9145.628,,Benin,Donga,Copargo,0.0,Karhoum-Dora,0.000425276,3.038,14,False,0,14,14,0.046500496,False,0,Tchalinga,Very small,1530.786026,0.335,7.867836,0.262,0.0,8.242,26.49695342,False,8.241549167,0,6,0.262222246,False,4.650049606,0,7.643399856,0.217,0.0,39.88225497,9.586889551,9.586889551,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0,0,0.0,1992.804,25,1.1729,Donga,Copargo,9.693
11.62651,2.566677,11.055,-0.287,0.030388808,16667,85,30388.808,,Benin,Alibori,Karimama,0.0,Kandérou,0.001173104,7.161,33,False,0,33,33,0.038603161,False,0,Founougo,Very small,1085.926118,0.335,3.563414,0.42,0.0,16.912,40.13717076,False,16.91207376,0,7,0.420369453,False,3.860316146,0,15.97001802,0.217,0.0,39.17175604,158.2321651,39.17175604,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0,0,0.0,2082.656,72,1.053,Alibori,Karimama,157.492
9.925461,3.535981,4.355,-0.438,0.015877758,9616,34,15877.758,,Benin,Borgou,Nikki,0.0,Ouenou,0.000456641,2.821,13,False,0,13,13,0.028759791,False,0,,Very small,818.7553689,0.335,21.643231,1.466,0.0,2.755,36.17779682,False,2.7549429,0,4,1.465552157,False,2.875979078,0,20.837436,0.217,0.0,66.56381415,87.47189628,66.56381415,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0,0,0.0,1984.038,28,1.3884,Borgou,Nikki,87.608
11.517475,2.415731,2.68,-0.286,0.002798779,16726,21,2798.779,,Benin,Alibori,Banikoara,0.0,Location #17094,0.000243238,1.736,8,False,0,8,8,0.08690844,False,0,Founougo,Very small,2858.389128,0.335,11.596747,1.723,0.0,13.505,25.10077979,False,13.50514678,0,7,1.723119273,False,8.69084397,0,12.46676051,0.217,0.0,24.77351881,148.2831844,24.77351881,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0,0,0.0,2081.195,25,1.1905,Alibori,Banikoara,147.518
10.393772,3.307137,34.84,-0.434,0.289452472,11969,268,289452.472,,Benin,Borgou,Kalale,0.0,Kalalé,0.003726942,22.568,104,False,0,104,104,0.012875835,False,0,Péonga,Very small,359.2990564,0.335,6.607697,0.68,0.0,6.915,14.32524807,False,6.914795756,0,29,0.679577211,False,1.287583515,0,12.76450755,0.217,0.0,61.464888,73.41515051,61.464888,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0,0,0.0,2019.102,93,1.3884,Borgou,Kalalé,73.932
10.858445,2.780824,4.02,-0.578,0.01285888,14003,31,12858.88,,Benin,Alibori,Gogounou,0.0,Location #16590,0.00043168,2.604,12,False,0,12,12,0.033570555,False,0,Gogounou,Very small,933.2072549,0.335,6.186574,0.632,0.0,6.191,6.28078326,False,6.191410698,0,8,0.631853175,False,3.357055498,0,5.369748124,0.217,0.0,7.724306976,73.83209313,7.724306976,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0,0,0.0,2056.357,57,1.8387,Alibori,Gogounou,73.48
10.742607,2.75663,6.365,-0.557,0.034353448,13780,49,34353.448,,Benin,Alibori,Gogounou,0.0,Sori,0.000567153,4.123,19,False,0,19,19,0.016509358,False,0,Bagou,Very small,553.0740374,0.335,3.528568,0.423,0.0,8.552,11.37120739,False,8.552445584,0,9,0.423053737,False,1.650935771,0,2.574174015,0.217,0.0,5.459387735,60.61212967,5.459387735,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0,0,0.0,2049.418,35,1.053,Alibori,Gogounou,60.405
6.629545,1.946346,8.71,-0.119,0.014994995,1667,67,14994.995,,Benin,Mono,Bopa,0.0,Bopa,0.001199591,5.642,26,False,0,26,26,0.07999944,False,0,Lobogo,Very small,1733.911902,0.335,2.009578,1.576,0.0,4.662,10.60867658,False,4.661724023,0,6,1.576324165,False,7.999943975,0,2.761528387,0.217,0.0,4.019286601,3.968378756,3.968378756,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0,0,0.0,1715.944,41,1.2246,Mono,Bopa,4.016
